Chromosome	Genomic_position1	Genomic_position2	G1	Early_S	Late_S_G2	M_stage
chr9	22000000	23000000	0.0011059161741286516	0.0003901483047229704	-0.0012697774567641319	-0.00022628729057032614
chr11	15500000	16000000	0.0016950245630141581	-0.004586431896314025	0.003637721459381282	-0.0007463144254870712
chr11	16000000	16500000	0.0010508386374567635	-0.0034422430908307433	0.002300578448921442	9.082654796657152e-05
chr9	18000000	18500000	0.0010605918010696768	-0.0035890402272343636	0.0029377151280641557	-0.0004092663781193551
chr9	15000000	14500000	0.0011971025902312248	-0.0025597034487873315	0.0012849353719502688	7.766599737806246e-05
chr11	22000000	22500000	0.0011607668100623413	-0.0022674822248518467	0.0010686046385671943	3.8110866444185373e-05
chr11	16500000	14000000	0.0017478985711932183	-0.0024544856743887065	0.0013836774276569485	-0.0006770895386580377
chr11	18500000	17000000	0.0016767979599535466	-0.0028906673192977904	0.0012363483780063688	-2.2480046027339995e-05
chr9	19000000	19500000	0.0011682363459840418	-0.0010581673064734786	0.0012469239620259032	-0.0013569932547397912
chr11	25000000	25000000	0.001243784511461854	-0.0011881436686962843	0.0014259362476877868	-0.001481576805235818
chr9	21500000	21000000	0.001377013261662796	-0.002094175200909376	0.0006058737402781844	0.0001112886136979796
chr11	20000000	21500000	0.001195890559029067	-0.0009779376501683145	0.0005351514380890876	-0.0007531041163019836
chr11	21500000	19000000	0.0016924572642892598	-0.0009096609574044123	0.000599282723851502	-0.0013820785563439131
chr9	21000000	21500000	0.0014320469461381435	-0.0021289173746481538	0.0006526651603053323	4.420488985488191e-05
chr9	15500000	18000000	0.0018161593936383725	-0.0020786488195881246	0.0005142616049852222	-0.00025177197821903976
chr9	17500000	20500000	0.0015270024887286127	-0.0013102716358844191	0.0006513525149784982	-0.0008680836530402303
chr9	18500000	16000000	0.0016183131956495345	-0.001563016651198268	0.0007183884677942842	-0.000773685285821557
chr9	19000000	15500000	0.0014555562753230332	-0.0013279251055791975	0.0005640727942591184	-0.0006917041493579746
chr9	20500000	18500000	0.0016533882095245644	-0.0014172454000799916	0.0005246195622021332	-0.0007607623119838536
chr9	21000000	18500000	0.0014790188142796978	-0.0013294018484884874	0.0005252999253571033	-0.0006749167438101722
chr9	15500000	18500000	0.0014058052096515895	-0.0018513438757508994	0.0008155179137247614	-0.00036997863790020344
chr9	15500000	19000000	0.0011285153101198374	-0.0012615008163265884	0.0005420043715275824	-0.0004090190108399838
chr9	16000000	18500000	0.0013653888599947095	-0.00154044593218714	0.0006548576347995549	-0.00047980019298847764
chr9	18000000	20500000	0.0011847055633552373	-0.0010553718311712146	0.0006205304467584938	-0.0007498641381971539
chr9	18500000	20500000	0.0014199488330632448	-0.0012117478705476969	0.0005890788277611136	-0.0007972799678100273
chr11	13500000	14500000	0.0012343236827291547	-0.0016343415481969714	0.0006541688286233694	-0.00025415070413146166
chr11	14500000	13500000	0.0012484810780733825	-0.0015625150175765158	0.0005866202744073234	-0.0002725864324020222
chr11	15500000	14000000	0.0012996208388358355	-0.0016369715798646212	0.0006602501031011343	-0.0003228991263313219
chr11	16000000	18500000	0.001231960643781349	-0.001128987892298028	0.0006427465792512521	-0.0007457191444700584
chr11	16500000	18500000	0.0012856211746111513	-0.0015855168225243688	0.0007145277690142393	-0.00041463195229880513
chr11	16500000	19000000	0.001196056604385376	-0.0015303694061003625	0.0006225542107131332	-0.0002882414119085297
chr11	19000000	16500000	0.0013170755584724248	-0.0019307632464915514	0.0008704983396455645	-0.00025681075367174345
chr11	19500000	17000000	0.0012247441569343208	-0.0015996458241716027	0.0006518540089018643	-0.00027695218741428105
chr11	20000000	16500000	0.0012295267893932759	-0.001387305126991123	0.0005544641666347161	-0.00039668594690738245
chr11	21500000	22000000	0.0013172170525649562	-0.0014010100479936228	0.0008058568928390741	-0.00072206404292956
chr11	26000000	24000000	0.0012144896551035344	-0.0014662406407296657	0.0005334647197742015	-0.0002817137137753889
chr11	14000000	16500000	0.0011364687117747963	-0.0014068380231037736	0.0005816755117848515	-0.0003113063648925163
chr11	16000000	14000000	0.001063758204691112	-0.0016542638302780687	0.0008312398684211075	-0.00024073444656096398
chr11	17000000	19500000	0.0010309460863936692	-0.0013385219033807516	0.0005495862569659948	-0.00024201050691772253
chr11	19500000	21500000	0.0010687270667403936	-0.001095537352375686	0.000737125426530838	-0.0007103151816409081
chr11	26000000	23500000	0.0010775537812151015	-0.0013670605956576764	0.0005024276091717183	-0.00021292039891704917
chr9	14500000	18000000	0.0013372691115364431	-0.0009887147112749516	0.00018371503392700106	-0.0005322696699295193
chr9	16500000	15000000	0.0012628667056560517	-0.0008158638374879956	0.00045547471090685577	-0.0009024776984006167
chr9	16500000	21000000	0.0010186460334807635	-0.0009250091621652246	0.00012716759483737404	-0.00022080448252381757
chr9	17500000	20000000	0.0011354310729075224	-0.0007257695368025451	0.00017533669133626973	-0.0005849981855135411
chr9	18500000	14500000	0.001235206244746223	-0.0008974705240689218	0.0001219795198267093	-0.00045971545041538774
chr9	21500000	18500000	0.0011361088952980935	-0.0006878400633468118	0.00011874487645400223	-0.0005670136888511479
chr9	22000000	18500000	0.0011642747558653355	-0.0008572521503083408	0.00031026183860376476	-0.0006172844616230578
chr9	22500000	18500000	0.0010462576756253839	-0.000840174756012857	0.00016545376438443783	-0.00037153648445382715
chr9	22500000	19000000	0.0010787248145788908	-0.0009184849273879081	0.00045350218715611845	-0.0006137420714367181
chr11	25000000	22500000	0.001200110581703484	-0.0007399522350169718	9.36129328692914e-05	-0.0005537713645026088
chr11	16000000	18000000	0.001052423962391913	-0.000681921950308606	0.0003951836988562718	-0.0007656856090761721
chr11	16500000	20000000	0.0010819380986504257	-0.0009663670789450407	0.0003086938406340778	-0.0004242649360094219
chr11	25500000	23000000	0.0010838412214070558	-0.0007379159680567682	8.412289353145752e-05	-0.0004300479136873037
chr9	20000000	21000000	0.0014691385847982019	-0.0006160360528156162	0.00034926141670439393	-0.001202363660559058
chr11	20500000	19000000	0.0012516219168901444	-0.00019943428633268924	0.00033121716696768997	-0.0013834048993885517
chr9	22500000	24000000	0.0010232606437057257	-0.0013415070483461023	0.00030010155792297154	1.8144683417631312e-05
chr9	14000000	17500000	0.00152412923052907	-0.0010078515857458114	0.00026087528676725923	-0.000777152890805155
chr9	14500000	18500000	0.0014963796362280845	-0.0013562167121563106	0.0003478475089650601	-0.0004880107066128403
chr9	18000000	15000000	0.0014614949002861976	-0.0015527515904977917	0.0003861878969473764	-0.00029493107576854526
chr9	18000000	19500000	0.0014461718499660492	-0.0010756587005744222	0.0001620138602447696	-0.0005325270700268448
chr9	18500000	15500000	0.001491990010254085	-0.0014033792773261665	0.00034533040889073163	-0.0004339408944360912
chr9	20500000	21000000	0.0014533846057020127	-0.001489320257678628	0.0003384447656571865	-0.00030250911513576286
chr9	21500000	19500000	0.001573915861081332	-0.0010661739645001945	0.0003021808399353176	-0.0008099224476609379
chr9	15000000	18500000	0.0011966818128712475	-0.0013592990348115564	0.0004804157913895324	-0.00031779833370819687
chr9	15500000	17500000	0.001371379941701889	-0.0014718246995471418	0.0002426374689093791	-0.00014219288714230062
chr9	17000000	20000000	0.0013854904798790812	-0.0011954702902585268	0.00036503672890830785	-0.0005550567759200931
chr9	19500000	18000000	0.001420933974441141	-0.0012681521940976382	0.00041911358057404867	-0.0005718955886550248
chr9	21000000	20500000	0.0012444423511624337	-0.0014928242890164256	0.0004576091829221696	-0.00020922700350638478
chr9	23500000	24500000	0.0011567953508347273	-0.0013483632705174387	0.000349987912341021	-0.0001584200290380977
chr9	24000000	22500000	0.0014093704055994749	-0.0016502917045727373	0.0003188543807482347	-7.793352851876989e-05
chr11	21000000	19500000	0.0017725477460771798	-0.001255136472173035	0.0003586147737223655	-0.0008760263328440488
chr11	21500000	19500000	0.001497344416566193	-0.0012488410924561323	0.00038924463297007605	-0.0006377481040544808
chr11	27000000	23500000	0.0015074549242854117	-0.0014032470295205711	0.0003623435855843127	-0.00046655173355247825
chr11	27000000	26000000	0.0018262225203216076	-0.0014601250877603889	0.00023588044568896295	-0.0006019776221364737
chr11	14000000	15500000	0.0010700045968405902	-0.0013291304232552648	0.0004284583148546517	-0.00016933246261032763
chr9	14500000	17000000	0.0014798338524997234	-0.0009044156118761748	3.099612031292054e-05	-0.0006064145127311349
chr9	14000000	18500000	0.0011244379333220423	-0.0007218888436909765	5.234258524069446e-05	-0.000454891863046214
chr9	17000000	15500000	0.001049966807477176	-0.0008915721438825131	2.8927705716341735e-05	-0.00018732240896497389
chr9	19000000	18000000	0.0011310160043649375	-0.0009733700950164348	3.1993357697501776e-05	-0.00018963947004522197
chr9	20500000	19000000	0.0016663270740536972	-0.0008058138351771049	-1.981805544346571e-05	-0.0008406951354118064
chr9	21000000	19500000	0.0016480334335938096	-0.000693571062583942	-0.00014007726040290435	-0.0008143847051542252
chr9	14000000	13000000	0.0011293835850665346	-0.0004070049326401204	-0.00031435350247193127	-0.00040802499279379845
chr9	15500000	17000000	0.0010728957480750979	-0.0008503294666297734	-2.9439813079079614e-05	-0.0001931265913299285
chr9	17500000	18500000	0.0012443714193068444	-0.0001967810789210489	-0.0002153111228835769	-0.0008322791312821209
chr9	18000000	19000000	0.0010979945305734872	-0.0004937407502438873	-0.000502058188430965	-0.00010219569605851575
chr9	19000000	20500000	0.001011806429596618	-0.000330367696005851	-0.00014198908211255913	-0.000539449552888982
chr9	19000000	21000000	0.0013049173052422703	-0.0006539268826600165	-2.9252322565298528e-05	-0.0006217380345333367
chr11	20000000	21000000	0.0013057172647677362	-0.0006134123366791755	-0.00017369261768180878	-0.0005186126887565479
chr11	24500000	23500000	0.0013990324921905994	-0.000773084512911737	-0.00018618476460687816	-0.00043976331944577395
chr11	27500000	26500000	0.0013214974431321024	-0.0008592540398240089	-1.0347914940211923e-05	-0.00045189561205916107
chr9	23000000	22000000	0.0016122657572850585	-0.00011674318084260449	-0.0010576314642094075	-0.00043789072951767595
chr9	13000000	14000000	0.001622430949646514	-0.0010205673112068324	1.0117259807884694e-05	-0.0006119807541836054
chr9	16000000	17000000	0.0014747035806067289	-0.001477121387142688	4.4069108412259084e-05	-4.165134650975233e-05
chr9	17000000	16000000	0.0010626541974488647	-0.0010886850039241835	7.785679190419614e-05	-5.1825969421770424e-05
chr9	23500000	22500000	0.0011073332745581866	-0.001099846709985286	7.534363667218713e-05	-8.283051092803362e-05
chr11	26000000	22500000	0.0016114063560962676	-0.0010295741609297692	-2.1137626390554943e-06	-0.0005797185702249407
chr11	26000000	27000000	0.00154681249987334	-0.0010032928665168583	-6.745378414052539e-05	-0.0004760658775921911
chr9	17000000	17000000	0.0008331963326781988	0.007711257506161928	-0.004266766435466707	-0.004277687333524227
chr11	24000000	23000000	0.0007045205100439488	0.0010266176075674593	-0.0006324641697574406	-0.0010986743844114244
chr11	19500000	20000000	0.0009860120480880141	0.0016253812209470198	-0.0017089833854697645	-0.0009024099563248456
chr9	18500000	17500000	0.0006609312957152724	0.000526325759710744	-0.0005968044541077688	-0.000590452255346463
chr9	21500000	22500000	0.0008243717486038804	0.0009868480730801821	-0.000951800582697615	-0.000859419465996325
chr11	19000000	20500000	0.0005286288003844674	0.0003436802857322618	2.3040665837470442e-05	-0.0008953497279435396
chr11	19000000	21000000	0.0007478069863282144	0.00013355464034248143	1.6890583356143907e-05	-0.0008982522296719253
chr9	14000000	16500000	0.0005163763795280829	0.00036633093986893073	-9.741479152580723e-05	-0.0007852927112253383
chr9	21000000	22500000	0.0009517448372207582	0.00027472031069919467	-0.000595146746491082	-0.0006313183170277625
chr11	15500000	18000000	0.0008179486379958689	0.00011255984427407383	-2.4368833692278713e-05	-0.0009061396238394081
chr11	18500000	20000000	0.0007618668023496866	0.0004674750656704418	-0.00045151505328249185	-0.0007778267376124859
chr11	22000000	23500000	0.0009199479420203716	0.00034268503441126086	-0.0003836385876638815	-0.0008789943065494299
chr11	22000000	24000000	0.0008624565438367426	9.565938380546868e-05	-0.0001561316312290728	-0.0008019842905923724
chr11	23500000	24500000	0.0006098111683968454	0.0002088793582515791	-0.0004133939568419009	-0.0004052964795846492
chr11	26000000	26000000	0.0006972279865294695	0.00014946000883355736	-0.0005707094262106694	-0.0002759784780209884
chr11	17000000	17000000	0.000981719046831131	-0.009996695606969298	0.007159446738660336	0.0018555290444055572
chr9	18500000	18000000	0.0005690078716725111	-0.0035377370193600656	0.0024794564116746185	0.0004892722761724144
chr11	17500000	16500000	0.0006051925010979176	-0.0014392755925655364	0.0006234619882889092	0.00021062120431452057
chr9	20500000	18000000	0.0007489111565519124	-0.0009556833771057427	0.000611572660272941	-0.00040480030875187365
chr11	20500000	18000000	0.0007295476039871574	-0.0007871822395827621	0.0008430233050603419	-0.0007853887160308659
chr9	18500000	15000000	0.0009733349899761379	-0.0010692101786844432	0.0006571779609657824	-0.0005613027315121144
chr11	14000000	16000000	0.0008989265421405435	-0.0013112372485920786	0.0005724177579395473	-0.00016010726176318713
chr11	14500000	16500000	0.0008550924598239362	-0.0010208285937551409	0.000568331393878907	-0.00040259501547552646
chr11	16000000	13500000	0.0006782572949305177	-0.0010246806778013706	0.00052110280666966	-0.00017467941870563664
chr11	16500000	13500000	0.0009087159764021635	-0.0011603315477259457	0.0005139131331816316	-0.0002622975822305307
chr11	16500000	14500000	0.0005491032381542027	-0.0010216401307843626	0.0007095977896824479	-0.0002370608883211389
chr11	16500000	17500000	0.0009760379150975495	-0.0012229500513058155	0.0005527113913558424	-0.00030579936865251514
chr11	17000000	13500000	0.0007080706593114883	-0.0010617311694659294	0.0006147259671706706	-0.00026106524746865033
chr11	18500000	16500000	0.0009892493719235063	-0.0018611273379065096	0.0009847589302808047	-0.00011288065725238994
chr9	25000000	25500000	0.00050780295568984	-0.000816710916114971	0.0002269401782541536	8.196778471756261e-05
chr9	25000000	24500000	0.00056930155842565	-0.0010846358607523143	0.000309701167861931	0.00020563309954013675
chr9	14000000	18000000	0.0009593506518285721	-0.0006766731792595237	0.0002077865443425253	-0.0004904639325104653
chr9	15000000	19500000	0.0008423557097557932	-0.0008002377289813012	0.00026178854459431023	-0.0003039065923076123
chr9	16500000	20000000	0.0005091464961878955	-0.00045484245638363066	0.000193661663797684	-0.0002479656439390965
chr9	16500000	20500000	0.000654771804693155	-0.0005601150856819004	0.00012193175207357854	-0.0002165884434361942
chr9	17000000	15000000	0.0009201361215673387	-0.0007002362282946706	0.00020174330566078425	-0.000421643047593534
chr9	17000000	18000000	0.0007141420501284301	-0.0008076175348833203	0.0002293919591465965	-0.00013591656681910536
chr9	17000000	19500000	0.0005217029014602303	-0.0003996471437858418	0.00015322370600188152	-0.000275279360357672
chr9	17000000	20500000	0.0007376483525149524	-0.0005866020394023508	0.00015204271348920884	-0.00030308893765322863
chr9	17000000	21500000	0.0006230382947251201	-0.0006694677169434727	0.00025239801325369624	-0.00020596855028998107
chr9	17500000	14500000	0.0008946664282120764	-0.0006792317632061895	0.00015707855272921732	-0.0003725130984093994
chr9	17500000	15500000	0.0009060822543688118	-0.0009073048597201705	0.00023802809009794147	-0.00023680528975091874
chr9	17500000	19000000	0.0006926696980372072	-0.00040625249966979026	9.161491434497293e-05	-0.0003780321043450385
chr9	17500000	21000000	0.0007722796930465847	-0.0008407599525526166	0.0004450595995876938	-0.0003765796544030309
chr9	17500000	21500000	0.0008907530689612031	-0.0008436426927801221	0.00027758771902881564	-0.0003246980020776391
chr9	17500000	22000000	0.0005970832615275867	-0.0004903953318716958	0.0001598785602254793	-0.0002665664673259016
chr9	18000000	14500000	0.0005592655797954649	-0.000457331445068121	0.00032224655442405494	-0.0004241805290803313
chr9	18000000	21000000	0.000555890059331432	-0.0005439913889858872	0.0003738411411177367	-0.00038573973870370537
chr9	18000000	21500000	0.0006935665529454127	-0.0004979413177352398	0.00022513057483593003	-0.00042075577948708087
chr9	18500000	21000000	0.000685351766878739	-0.00029890433070249854	0.00019354468313395045	-0.0005799921753350645
chr9	18500000	21500000	0.00061307241267059	-0.00019633796764537693	8.442074758931994e-05	-0.0005011549605114851
chr9	19000000	14500000	0.0005771917316451436	-0.000524664789554663	0.0002698002936085686	-0.00032232708763331176
chr9	19000000	15000000	0.0005537036289751995	-0.0003968590957811102	0.0001733076525852084	-0.0003301522374385968
chr9	19000000	16500000	0.0005564496906153238	-0.0002325403707800433	0.00022200461535248905	-0.000545913923997432
chr9	19500000	15000000	0.000639706663787365	-0.0004473356733797118	0.0001779013517079875	-0.00037027242942713203
chr9	20000000	17500000	0.000776325078913942	-0.00081212313962169	0.0004944837826769799	-0.00045868596353102473
chr9	20000000	18000000	0.0006503496086224913	-0.0006755215814337135	0.00024161629553418607	-0.00021644438238581641
chr9	21000000	18000000	0.0006316016195341944	-0.0007271275229868479	0.0003061192823224701	-0.0002105933610437205
chr9	21000000	23000000	0.0006084627762902528	-0.00044565139687620104	0.00013126711564837024	-0.0002940782898804173
chr9	21500000	19000000	0.0008997152675874531	-0.00046667444694321604	0.00017939626413863153	-0.0006124372041085735
chr9	22000000	23500000	0.0007489793468266725	-0.0004943968990119175	0.0001079026973911823	-0.00036248512333258986
chr9	22000000	25000000	0.0005166583840036764	-0.0007591073168441653	0.00028681653348030525	-4.436753961272189e-05
chr9	22000000	25500000	0.0005105686082970351	-0.0007150749675929547	0.00028801005682907996	-8.350372809218243e-05
chr9	22500000	18000000	0.0005203594279009849	-0.000435436621773988	0.00013477212851285004	-0.0002196950139477849
chr9	23000000	21000000	0.0006833847379311919	-0.0005140532564837485	0.00023392465373035521	-0.00040325619629584254
chr9	23000000	25500000	0.0005882685771211981	-0.0006344397726934404	0.00014518233510898426	-9.901119551045668e-05
chr9	26000000	27000000	0.0006841338938102127	-0.0005123710492625832	8.249262391473167e-05	-0.0002542555012041703
chr11	13000000	13000000	0.0006243349074793514	-0.0007336638635024428	0.0003134900878649205	-0.00020416117549757474
chr11	13000000	13500000	0.0005294211965519935	-0.0006710576519253664	0.0002407757900073193	-9.913927378875087e-05
chr11	13500000	13000000	0.0007154639053624124	-0.0008198064722819253	0.00021843469003215432	-0.00011409211874706671
chr11	13500000	15500000	0.0005877212970517576	-0.0008065418573096394	0.0003219294536393136	-0.00010310906054655788
chr11	13500000	16500000	0.0006871474790386856	-0.000959102634806186	0.00040029241645243017	-0.00012833742323437036
chr11	13500000	17000000	0.0005733225727453828	-0.0006035829137545079	0.0001760488858053577	-0.00014578857517335563
chr11	15500000	13000000	0.0006997705844696611	-0.0008544224023353308	0.00034640690719243137	-0.0001917550660436973
chr11	15500000	13500000	0.0006637208978645503	-0.000995634903665632	0.0004829780198633671	-0.0001510639805928804
chr11	15500000	18500000	0.0006063674460165203	-0.0003735170903382823	0.00027059736967203205	-0.0005034476547734812
chr11	15500000	19000000	0.000519044268912694	-0.00044424955995054917	0.0002502738272596616	-0.0003250687790568918
chr11	15500000	20000000	0.0007421579619403928	-0.0007279277197085321	0.0002782368945190683	-0.00029246716294437645
chr11	16000000	19000000	0.0008285906398668886	-0.000923969058203511	0.0004990587563952431	-0.00040368030895479026
chr11	16000000	20000000	0.0009435446467250585	-0.0009345030877739191	0.0003099140943959355	-0.00031895549618639053
chr11	16000000	20500000	0.0007179911131970585	-0.00048417650978080926	0.00012830963041778886	-0.0003621241427026689
chr11	16500000	18000000	0.0006520571070723236	-0.0007337584858760238	0.0003050295548746362	-0.00022332811349770054
chr11	16500000	20500000	0.0006825384683907032	-0.00044574373168870807	0.00012216619070386513	-0.0003589609288610518
chr11	17000000	20000000	0.0006957513687666506	-0.0007046157465083524	0.00031054769933689383	-0.0003016834292793646
chr11	17500000	13000000	0.000510910718003288	-0.0006775952177122235	0.0003687167802127078	-0.00020203209860483184
chr11	18000000	16500000	0.0005641254829242826	-0.000854936131509021	0.00039179277373477814	-0.00010098228740389459
chr11	18000000	20500000	0.0008516499015968293	-0.000355237658641272	0.0003603030610975111	-0.0008567151264287532
chr11	18000000	21000000	0.0008213864464778453	-0.0003550673951394856	0.00026764030117192305	-0.0007339595525991171
chr11	19000000	16000000	0.0006283896218519658	-0.0007163716945797205	0.0003224746687919833	-0.0002344925538636744
chr11	19000000	21500000	0.0008472883131616981	-0.0001005561302008573	0.0001886366317194188	-0.0009353689092677087
chr11	19000000	22000000	0.0005015664821257815	-0.0005765880516264588	0.0004850619530770928	-0.0004100403602933511
chr11	19500000	16500000	0.0006600961554795503	-0.0007967811194248498	0.0002611578587675467	-0.00012447281005734112
chr11	19500000	21000000	0.0008260802569566295	-0.00032834510784596205	0.00018205663800472394	-0.0006797917652875185
chr11	19500000	22000000	0.0005668114783475176	-0.0004939095239024027	0.00026446241172379815	-0.00033736440673237666
chr11	20000000	16000000	0.0006600814172998071	-0.00048707257228670643	0.0001192286959849298	-0.0002922375439084135
chr11	20000000	17000000	0.0006861947900688392	-0.0006828703073551879	0.00028340232856862715	-0.0002867268165573478
chr11	20500000	16500000	0.0006720601304550655	-0.0005083624186227098	0.00017725836369208992	-0.00034095636219717563
chr11	20500000	17000000	0.0005069035396445543	-0.0005687838885933161	0.000346356128284242	-0.00028447596123442053
chr11	21000000	18000000	0.0007541360333561897	-0.00025511999847367407	0.00020549099717754872	-0.0007045067672152072
chr11	21000000	18500000	0.0005386903532780707	-3.3668456308078024e-05	0.0001557536656036973	-0.0006607755902223289
chr11	21000000	22000000	0.0006281969777774066	-0.0009372419328428805	0.0004191718471702188	-0.00011012697650585324
chr11	24500000	22500000	0.0007304802187718451	-0.00011220946962566813	0.00014509698085021227	-0.0007633675821125507
chr11	25000000	23000000	0.0009643228957429528	-0.0005676622095052153	0.0001441456624888815	-0.0005408065451774746
chr11	25000000	23500000	0.0007654562825337053	-0.0006292508158367127	8.948691902332939e-05	-0.00022569246066268535
chr11	25500000	22000000	0.0009717390174046158	-0.0005690450314432382	9.97627879769425e-05	-0.000502456637332216
chr11	26000000	23000000	0.0008779887983109802	-0.0008860816073138267	0.0002339486964046955	-0.0002258559710753616
chr11	26500000	23500000	0.0008291578851640224	-0.0009709628531709314	0.00041221994033548983	-0.0002704149286728352
chr11	27000000	24000000	0.0006563112998264842	-0.0006087540416046977	0.0001968247139302548	-0.00024438206310151145
chr11	27500000	24000000	0.0007221123203635215	-0.0007432824233546853	0.0002509821832063608	-0.00022981197689659895
